nome,ano,genero,investimento,bilheteria
O Poderoso Chefao,1972,policial,11.04821649,5623234.602
O Magico de Oz,1939,fantasia,14.92767805,5714951.757
Cidadao Kane,1941,misterio,27.11459654,9524339.124
Os Bons Companheiros,,policial,,6331568.779
E.T.,1982,sci-fi,19.14224634,6409617.277
De Volta Para o Futuro,1985,sci-fi,9.977310643,4956557.317
Chinatown ,1974,policial,14.25746091,4654565.066
Tubarao ,1975,suspense,8.871800033,3950017.325
Star Wars: Episodio V - O Imperio Contra-Ataca,1980,sci-fi,29.11280008,6850971.551
Alien ,1979,suspense,3.695240977,5157865.85
Forrest Gump,1994,,7.660964735,6124642.193
Toy Story,1995,aventura,13.16296312,7179619.256
Matrix ,1999,sci-fi,23.09992377,6412548.105
A NoviÁa Rebelde,1965,,3.807287872,3940457.954
Titanic ,1997,romance,36.96980123,6883304.691
Jurassic Park,1993,aventura,26.87846314,8357738.217
O Rei Leao,1994,fantasia,17.46290712,6051705.582
Avatar ,2009,fantasia,4.401585311,6537048.248
Gladiador ,2000,acao,17.25084487,6580321.145
Apocalypse Now,1979,,4.083091088,6253514.417
O Senhor dos Aneis: A Sociedade do Anel,2001,fantasia,23.11462484,8912699.881
Duro de Matar,1988,acao,26.6014938,4899581.698
A Bela e a Fera,1991,romance,3.452739061,4203260.002
The Lord of the Rings: The Return of the King,2003,fantasia,5.958254691,6119911.722
Quem Quer Ser um Milion·rio,2008,comedia,9.325240727,
Coracao Selvagem,1995,romance,47.28246139,10867385.4
O Labirinto do Fauno,2006,suspense,4.62758475,6853880.505
Os Sete Samurais,1954,acao,35.98912182,8651589.668
Rocky: O Lutador,1976,acao,14.44448624,5980356.545
Wall-E,2008,aventura,16.67544053,7447149.06
Os CaÁa-Fantasma,1984,fantasia,38.18724016,8017317.308
"Amor, Sublime Amor",1961,romance,5.599493131,8573321.37
Os CaÁadores da Arca Perdida,,aventura,3.572837328,4570979.766
Doutor Jivago,1965,romance,43.57421036,8065119.319
Up ,2009,aventura,23.64318411,6042044.781
Amnesia,2000,drama,9.311471033,6130830.641
Seven,1995,acao,8.180604086,9833692.03
Inception,2010,sci-fi,29.64880244,7980684.744
Amadeus,1984,fantasia,42.42347077,8647958.298
Sindicato dos Ladroes,1954,policial,11.52252745,
12 Homens e uma sentenca,1957,drama,23.5767292,4792348.702
A ponte do rio kwai,1957,drama,28.54388229,6064585.462
Brokeback Mountain,2005,misterio,7.819135558,5725488.168
Todos os Homens do Presidente,1976,comedia,22.0413587,4939695.913
O Jovem Frankenstein,1974,suspense,11.03688918,5279266.755
Quase Famosos ,2000,comedia,3.639552171,5286126.572
